"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","10u","","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand","2",""
"C3,C4,C5,C8,C9,C10,C11,C12,C13,C14,C15,C16","100n","","Capacitors_SMD:C_0805_HandSoldering","12",""
"C6,C7","27p","","Capacitors_SMD:C_0805_HandSoldering","2",""
"D1,D2,D3,D4","LED","","LEDs:LED_0805","4",""
"IC1","ATMEGA328P-A","","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","1",""
"P1","USB_B","","Connect:USB_Mini-B","1",""
"P2","Programmer","","Connect:IDC_Header_Straight_6pins","1",""
"P3","UART","","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","1",""
"P4","UART Power","","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","1",""
"Q1","2N7002","","TO_SOT_Packages_SMD:SOT-23","1",""
"R1,R2","68R","","Resistors_SMD:R_0805_HandSoldering","2",""
"R3","1k5","","Resistors_SMD:R_0805_HandSoldering","1",""
"R4,R17","1M","","Resistors_SMD:R_0805_HandSoldering","2",""
"R5,R6,R7,R8,R9,R10,R11,R18","10k","","Resistors_SMD:R_0805_HandSoldering","8",""
"R12,R13,R14,R15,R16","100","","Resistors_SMD:R_0805_HandSoldering","5",""
"SW1","<","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"SW2","Select","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"SW3",">","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"SW4","I","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"SW5","V","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"SW6","vi","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"SW7","IV","","Buttons_Switches_SMD:SW_SPST_EVPBF","1",""
"U1","LD1117S33CTR","","TO_SOT_Packages_SMD:SOT-223","1",""
"U2","Nokia_5110_LCD","","Nokia_5110-3310_LCD:Nokia_5110-3310_LCD","1",""
"X1","12MHz","","Crystals:Crystal_SMD_HC49-SD","1",""
